source,target,frequency
{' '},{'smoth'},1
{'Mrs Pixie Bear Jo Hicks '},"{' ', 'Jen '}",2
{' Here here I am '},{'Chris Rembert'},1
{'Moon'},{'Dr Nu Nu Minamata'},1
{'True MJ Fan'},{'Johnny is our Grindelwald'},1
{'Sahina'},{'Jules Carlysle'},1
{'colleen'},{'Guilherme Leirosa'},1
{'Emily Fitzgerald emilyfitzgerald substack com'},"{' ', 'Johnny Depp BR ', 'giu saw nwh', '', ' EUPHORIA IS COMING', 'passeando', 'ForDaMik JohnnyDeppIsInnocent Justice', 'Bernardo Paz', 'me in howl s castle', 'there ', 'Gabi', ' h ', 'Deppthebest '}",13
{'MCoLa707'},{'Deppthebest '},1
{'Becky'},"{' ', ' MSW ', 'Marvel Fury', 'againstdomesticviolence', 'Ewinters Wald Mignon', 'Cassie Roehr', ' classicpaws '}",7
{'Helene Lee'},{'Andreea DeppHead of Romania Cacoveanu'},1
{'karissa ann '},{'Frostea '},1
{'Kaylee Manning'},{'RoyaltiD DeppWarriors'},1
{'Alastair '},"{'Pam Love ', 'Sweetest Sands ustice or ohnny epp ', 'YouGottaBeKiddingMe2121', 'Donia Eraiq', 'T', 'Horae of Peace'}",6
{'The Girl Who Waited'},{'Unkn wn N ne f N where '},1
{' Shawn Lunn '},{'AZian Channo'},1
{'Nony '},{'Kilpikonnanyst v '},1
{'GIANT FREAKIN ROBOT'},{'Chacun fait c qui lui pla t '},1
{'Cheeseislife'},{'Mrs John Christopher Depp II'},1
{'Drak Get the vaccine FFS'},{'Violetta'},1
{'Si '},{'Ghost'},1
{'JolieBlonde '},"{'Caitlin', ' Esmraldha2', ' MaxQ ', 'MadMaria Wald mignon', ' is off ', 'JD America', 'Kleyton Dekrassus '}",7
{'Bonnie Britain'},{'Ghost'},1
{'Julie JusticeForJohnnyDepp '},{'Engel Anael'},1
{'andrea hayes'},{'Ghost'},1
{'Se orita Roc o '},{'Teri Carson '},1
{'Resistor Happy Again'},"{'Julie JusticeForJohnnyDepp ', 'Sharon Stammers'}",2
{'Natalie'},{'Teri Carson '},1
{'I m Not Betty'},{'Ufofaunamania Bolivia'},1
{'Mr Bat man '},"{'Princess Consuela Bananahammock', 'Belinda '}",2
{'Kerrie Barton'},{'B Red'},1
{'Duchess Peony of the Kingdom of Megxit'},{'Mrs John Christopher Depp II'},1
{'Hayley Richardson'},"{' ', 'Sandra Deanne', 'Mrs John Christopher Depp II', 'ReemDepp Johnny Depp Deserves Justice', 'Juliana', 'donotfallintothetrap'}",6
{'Judianna'},"{' ', 'Sandra Deanne', ' rhiane '}",3
{'Stephen K PolicyNotPersonality'},{'Mrs John Christopher Depp II'},1
{'Leelou68'},"{'good will', 'Sandra Deanne'}",2
{'Kim Miller'},{'Sandra Deanne'},1
{'hil'},{'Sandra Deanne'},1
{' victoriamary'},{'Sandra Deanne'},1
{'Sarah Louise'},"{'JusticeForJohnny', 'Sandra Deanne'}",2
{'Luiza'},"{'JusticeForJohnny', 'inchhighpi', 'Sandra Deanne', 'Wendle Robo', 'chihiro ', 'Bazarette74'}",6
{'jason the burfday pal'},{' '},1
{' VMINKOOK HOE '},"{'seedoftruth ', 'Sandra Deanne'}",2
{'Tracey Brooks'},"{'Milo234', ' Daisy ', 'Sandra Deanne'}",3
{'Amna'},"{'Libby JusticeForJohnnyDepp', 'Wonka', 'chihiro ', 'NinaRoxx8825'}",4
{'Ty Yad Ofdis'},{'JusticeForJohnny'},1
{'Louise Tripoli '},{'J G Depp '},1
{'April Dalaman '},{'inchhighpi'},1
{'Peter Malcolm'},{'Teri Carson '},1
{'Lisa Wald Mignon'},{'Le Kit ses geekeries '},1
{'karlee is fed up'},{'inchhighpi'},1
{'Jill Rae'},{'inchhighpi'},1
{'Madi'},{'Teri Carson '},1
{'J Krumbles Creative Wizard '},"{'Andrea Oldfield', 'Angelique Angello', 'Patcar'}",3
{'Caittie Cat Loki Harley fangirl '},{'Teri Carson '},1
{'ShanK '},"{'Teri Carson ', 'Ghost'}",2
{'Jeremy Flores'},{'Teri Carson '},1
{'Vibeke Samuelsen'},{'Teri Carson '},1
{'Nick Sharafinski'},{'Teri Carson '},1
{'MB'},{'Teri Carson '},1
{'NoBoxesForMe '},{'Teri Carson '},1
{'Jennifer Nelson'},{'Teri Carson '},1
{'The Better Chrissy'},{'Teri Carson '},1
{'Shelly'},{'Teri Carson '},1
{'YoNoHe Sido'},{'Teri Carson '},1
{'Zac Elawar'},{'Teri Carson '},1
{'Laura Z '},{'Teri Carson '},1
{'Rae Knight '},"{'Belinda ', 'donotfallintothetrap', 'Andriana Pavlidou '}",3
{'Duncan Henny'},{'Teri Carson '},1
{'Sabrina Bucci'},{'Teri Carson '},1
{'Rhia Rara McGaga'},{'Teri Carson '},1
{'e phemera'},{'Teri Carson '},1
{'Rod O Net'},{'Teri Carson '},1
{'MsG'},{'Teri Carson '},1
{'Real Pamster'},{'Teri Carson '},1
{'Gonja'},{'Teri Carson '},1
{'Clyde Flexler '},{'Teri Carson '},1
{'Ellen Speybrouck'},{'Big Al '},1
{'Hev '},{'Belinda '},1
{'Mirian Aguirre'},{'Belinda '},1
{'Pippa Cordelia Vanlandingham'},{'Teri Carson '},1
{'Toni Harwood'},{'WestCoastMeshFighter WCMF'},1
{'Giggzy Boo Goonerette '},{'Teri Carson '},1
{'pyschonaut'},{'Teri Carson '},1
{'Mary Ficarra'},{'Teri Carson '},1
{'Deb Anderson '},{'Teri Carson '},1
{'Amanda'},{'Teri Carson '},1
{'Sammy'},{'Speak Of The Mignon '},1
{'THINA OG KPOP STAN '},{'p60p45'},1
{'Mimsicle '},{'Teri Carson '},1
{' Angel Teale'},{'Johnny is our Grindelwald'},1
{'Rhiannon Elizabeth Irons'},{'lenni Wald Mignon'},1
{' '},{' '},1
{'Raquel Dobson'},{'NinaRoxx8825'},1
{'Katie IBelieveHim'},"{'Libby JusticeForJohnnyDepp', 'Monadorni Jim nez', 'Em ', 'Jacko JusticeForJohnnyDepp', 'miaa', 'Neruda Winters ', 'Elisa Day', 'Bazarette74'}",8
{'Atticus'},{'Sandra Deanne'},1
{'Whinier the Fox'},{'Sandra Deanne'},1
{' Lorenz Carst '},{'Sandra Deanne'},1
{'Christi'},{'Sandra Deanne'},1
{'Claire '},{'Sandra Deanne'},1
{'Extremediva'},{'Sandra Deanne'},1
{'JAKE ELLENBOGEN'},{'Sandra Deanne'},1
{'Darcy '},{'Sandra Deanne'},1
{'laura '},{'Sandra Deanne'},1
{'Lisa Quinlan'},{'Sandra Deanne'},1
{'julie aziz'},{' Om Dr mm '},1
{'Christian Dahinden'},{'Sandra Deanne'},1
{'L T'},{' Om Dr mm '},1
{' '},{'Sandra Deanne'},1
{'mike BLM'},{'Princess Consuela Bananahammock'},1
{'The Gay Swami'},{'Guilherme Leirosa'},1
{' '},{'Teri Carson '},1
{'Gea Taylor s Version '},{'inchhighpi'},1
{'Francisco Ortega'},{'Mione48'},1
{'Mr J is Felix Leiter in disguise'},{'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell'},1
{'TrueBliu Nineleven'},{' Laura'},1
{'Paris Kara '},{'Andrea Oldfield'},1
{'Noir Grey '},{'Paul Brian'},1
{' Sarah Jones Roberts '},{'Sarah'},1
{'Michelle T'},"{'Berenice', 'Marvel Fury', 'Sweetest Sands ustice or ohnny epp ', 'Kountry Waldmignon ', 'Linda Lou ', 'Robin Wald Mignon I support THE TRUTH '}",6
{'DavKat43'},{'Ewinters Wald Mignon'},1
{'Steph Tiller '},{'Teri Carson '},1
{'Karen Moreno'},"{' MSW ', 'Libby JusticeForJohnnyDepp'}",2
{'glitterfist'},{'Libby JusticeForJohnnyDepp'},1
{'Deputy Minister of Meta Flashdance'},"{'Hellennehellenne ', 'good will', 'Horae of Peace'}",3
{'Cynomen'},"{'FlowerBOT', 'DeppFanPage '}",2
{'samantha guy'},{'Vaielena'},1
{'K REN '},"{'', 'Vaielena'}",2
{'dreaming of you'},{'Teri Carson '},1
{'Beth'},{'Lucas'},1
{'Julia '},{'Teri Carson '},1
{'Sandra'},{'sheila'},1
{'Juanito Say'},{'Mrs John Christopher Depp II'},1
{'Vacuum Boots'},{'Teri Carson '},1
{'Linda'},{'Teri Carson '},1
{'Casey Taylor Beep Bop Boop'},{'Belinda '},1
{'The Hypno Witch'},"{'Pam Love ', 'MegJ', 'Caitlin'}",3
{'Steph Justice for JD'},{'jessicalockhart'},1
{'Paul B eski '},{'Sam Cooke '},1
{'Anjalee Patel'},"{'', 'Berenice', 'inchhighpi', 'Angelique Angello', 'Andrea Oldfield', 'donotfallintothetrap', 'Ghost'}",7
{'Krystal'},{'MenCourage Philippines'},1
{' Free Palestine Land Back '},{'Teri Carson '},1
{'giorgia'},{'Teri Carson '},1
{'Annina s style'},{'Teri Carson '},1
{'Melinda Smith'},{'Teri Carson '},1
{'Allyson'},{'inchhighpi'},1
{'Stephanie '},{'inchhighpi'},1
{' i MakeTASM3'},{'SimonBarreBrisebois'},1
{' Mike Teufel '},"{'Sally Star', 'Mar a Laura Cristina'}",2
{'Scott Churchson'},{'Petlover218'},1
{'Brianna Morrissey'},{'Teri Carson '},1
{' Annalogue75 allegedly '},{'Paula '},1
{'Miss Mercury'},{'Batmanultra7'},1
{'Fatima Alegra'},{'Teri Carson '},1
{'Melanie Head'},{'Teri Carson '},1
{'Greg VotingRightsNow '},"{'Rae Knight ', 'Cheryl Drake '}",2
{'nar'},{'inchhighpi'},1
{'Kayla Vetter'},{'joby'},1
{'anni'},{'Eloisa'},1
{' Yany '},{'Sam Cooke '},1
{'OXOX'},"{'Liono Grinch', 'LL', 'amb'}",3
{'LadyDelishOz'},{'Ghost'},1
{'Jojo Beaver'},{'Marvel Fury'},1
{'Joe '},{'Marvel Fury'},1
{'Jessssaa '},"{'Katya', 'ProfessorDepp '}",2
{'FlaviaDepphead '},{'Aishacat '},1
{'paulina '},{'Teri Carson '},1
{'Lee '},{'Ra l S JusticeForJohnnyDepp'},1
{'Jared Wilbur'},{'Ghost'},1
{'Geegee'},{'Scarlet Waldman'},1
{'FlamenRed'},{'Libby JusticeForJohnnyDepp'},1
{'aditya arie'},{'Juliana'},1
{'Jenne10'},{'Samwinchester50'},1
{'RustyRages No longer sad see ya next year scUM'},"{' ', 'Belinda ', 'V ', 'Mrs John Christopher Depp II', 'ayca gurelman', 'danijela', 'Draku Seele', 'chihiro ', 'NinaRoxx8825', 'Kilpikonnanyst v ', 'Misu Mignonne ', 'Nympha ', 'Cassie Roehr', 'Donald Covid Trump', 'Luna', 'blackrainbowsxo', 'Elisa Day', 'Becky'}",18
{'Karla '},"{'Princess Consuela Bananahammock', 'su', 'Cassie Roehr'}",3
{' Rebzie '},"{'Underblank ', 'True Krdnchki', 'bling pipe ', 'Samwinchester50', 'Johnny s Pirate Fairy ', 'Ewinters Wald Mignon', 'Barbara ', 'Cassie Roehr', 'Katherine', 'Stephanie Brown', 'JD America'}",11
{'Year of the Jalapeno'},{'Cat '},1
{'Mamachell'},"{'Belinda ', 'RideOrDis', 'Verizure', ' is off ', 'Lilith Rising', 'Cindy Evans', 'Ghost'}",7
{'Leslie Audrey'},{'Rebecca'},1
{'bad websites'},"{'Robin Wald Mignon I support THE TRUTH ', 'Marvel Fury'}",2
{'Tom Townend'},"{' ', 'Sandra Deanne', 'Kelly Smahlt', 'Mrs John Christopher Depp II', 'danijela', 'Robin Wald Mignon I support THE TRUTH ', 'Bazarette74'}",7
{'Deonnie'},"{'Ghost', ' is off '}",2
{'Jess Emerson'},{'Sue Bongiovi'},1
{'Maria Graham'},{'J P Henz'},1
{'Zeo'},{'Ghost'},1
{'Dee'},{'Sxsanoo'},1
{'Andres'},{'Terisa '},1
{' LizzieDimitrescu'},{'Ulrica C'},1
{'kimmitx MAGA USA Americafirst Resist '},"{'Aurora FFP2', 'Paula '}",2
{'Johnny Bagels VP '},{' ej '},1
{'MelBrown RIP MOM6 28 21 SoarHigh GH Actors'},{'Libby JusticeForJohnnyDepp'},1
{' Alicia Jewell '},"{'Lucy ', 'Ra l S JusticeForJohnnyDepp', 'Ewinters Wald Mignon', 'Telma', ' Justice for Johnny Depp ', 'Linda Lou ', ' rem Ya mur JDForever', ' ', 'Belinda ', 'Paula ', 'Libby JusticeForJohnnyDepp', 'Sweetest Sands ustice or ohnny epp ', 'ForDaMik JohnnyDeppIsInnocent Justice', 'Vaielena', 'NinaRoxx8825', 'KimmhyDepp ', 'Andrea Deledda', 'Rae', 'Teri Carson ', 'Arghavan', 'Spirit of Dani ', 'Armita', 'Barbara Howard', 'Cece', 'Dr Jayne B Waldmingon PHD ', 'Lassie King', 'Nor33 ', 'Andrea Oldfield', 'sheila', 'TanHar', 'Robin Wald Mignon I support THE TRUTH ', 'Luna '}",32
{'luci swanson'},"{'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell', 'Kris '}",2
{'ANGEL'},"{' ', 'Teri Carson ', 'Kountry Waldmignon ', 'Moira Wetherell'}",4
{'lyn'},{'Teri Carson '},1
{'Camille '},{' '},1
{'Wendy Campbell '},{'Teri Carson '},1
{'harlequinade '},{' Annalee Perez '},1
{'Andrea '},{'Vaielena'},1
{'Grogu Baggins'},{'Teri Carson '},1
{'Misael David '},{'Teri Carson '},1
{'Lisa Bee'},{'Teri Carson '},1
{'candiee pritchard'},{'Sarah'},1
{'Amanda Caputo '},"{'res ipsa loquitur savvy ', 'ForDaMik JohnnyDeppIsInnocent Justice', 'su'}",3
{'Jo Be the change you wish to see in the world '},{'Teri Carson '},1
{'Heather Hear'},"{'Teri Carson ', 'JusticeForJohnny'}",2
{'laura'},"{'Lilia Machado', 'Ewinters Wald Mignon', 'Juliana', 'Carolina Depphead ', 'Robin Wald Mignon I support THE TRUTH '}",5
{'brittney of oldstones'},{' is off '},1
{'queer queen'},{'Teri Carson '},1
{' '},{'Teri Carson '},1
{'JazminKay'},{' '},1
{'Depp Lovers '},{'Teri Carson '},1
{'Joshua Ryan'},{'Juliana'},1
{'Gabrielle Ferguson'},"{' V d JusticeForJohnnyDepp ', 'TealiciousSnark', 'Sally Star', 'Andrea Oldfield'}",4
{'Reckless'},"{'Tanya Wald Mignon JusticeForJohnnyDepp', 'Papaya', 'Sharis ', ' Gracie JusticeForJohnnyDepp ', 'if'}",5
{' H lya '},"{' ', 'Genna4justice ', 'tralala', 'danijela', 'brittney of oldstones', 'miaa', 'Donut Wald Mignon', 'Cherry B ', 'seedoftruth '}",9
{'SophiaQ'},{'blahbydodaday'},1
{'tiki pie'},{'Sam Cooke '},1
{' '},"{' ', '', 'Paula ', 'Anna', 'Vaielena', 'mary', 'NinaRoxx8825', 'Crista Lea', 'Victoria Breakwell Wald Mignon '}",9
{'Julie Williams'},"{' ', 'Paula '}",2
{'Capt Craig N '},{'Ewinters Wald Mignon'},1
{'Rossari Maria'},{'Teri Carson '},1
{'Cornelia Bach'},{'Teri Carson '},1
{'Andy Signore'},{'Teri Carson '},1
{'Britt Horror Movies Is Our Childrens Future '},"{'pirate justiceforjohnnydepp', 'Daeny RL Read ', 'Kimmi Wald Mignons ', ' Om Dr mm '}",4
{'Alvaro Olyntho'},{'Lakota Di'},1
{'Sanisa'},{'Anna Maria Hell All Up In Hollywood '},1
{'Halloqueen '},{'Mrs John Christopher Depp II'},1
{'Raven JusticeForJohnnyDepp'},{'Libby JusticeForJohnnyDepp'},1
{'Just A Tad BROKEN'},{'James Shala'},1
{' '},{'Teri Carson '},1
{'D Daniels'},{'S'},1
{'tracy sette'},{'Renan Christian'},1
{'Estelle'},"{'Jeni Wald Mignon ', 'Pam Love ', 'JusticeForJohnny', 'Andriana Pavlidou ', 'Wonka', 'Christine Mignon ', 'Princess Consuela Bananahammock', ' is off ', 'Tired of idiots tbh', 'Muggle born ', 'Nova Wald Mignon', 'Horae of Peace'}",12
{'DorkAngel GBW'},"{'Heleboll ', 'Speak Of The Mignon ', 'Tilda B '}",3
{'Terrell Sanzone RESISTER Bully Hater NY Born'},{'Teri Carson '},1
{'jose amurica'},"{'Lucy ', 'Teri Carson '}",2
{'Kris'},{'Sally Star'},1
{'Coach Zen'},{'Sally Star'},1
{'Fikri Hasim'},{'Murmeltier '},1
{'Micka ayla Johnson'},{'Murmeltier '},1
{'NotPony'},{'Teri Carson '},1
{' '},{'Geppetto LivinG VirtualID is BORN not MADE'},1
{'Mystique Rose Depp'},{'Teri Carson '},1
{'subtweetive streak'},{'TheMadRatter Gwennafran '},1
{'Spirit of Dani '},{'Oups Sleepwater'},1
{'sarah barnes'},{''},1
{'C R G Brill she her '},{'No WomenAreTrash'},1
{'Rose Shanks'},{'Teri Carson '},1
{'Sharon a '},{'Teri Carson '},1
{'CaliGirl'},{'Dawn'},1
{'Julyy S'},{'Teri Carson '},1
{'Fucking Supreme '},{'Fe Nunes'},1
{'Aubiegail'},"{'EleanaBelle', 'Mrs John Christopher Depp II'}",2
{' i '},{'Mrs John Christopher Depp II'},1
{'Connie'},{'Teri Carson '},1
{'Rori KangKook '},"{'Guilherme Leirosa', 'pb def '}",2
{'H seyin D nmez'},{'Teri Carson '},1
{' Rise Sister Rise Speak Up'},{'Mellie '},1
{'Meepsia Magpie'},{'epiphany'},1
{' '},{'A Relative '},1
{'Darianna'},{'Teri Carson '},1
{'Faith'},{'res ipsa loquitur savvy '},1
{'Sweetest Sands ustice or ohnny epp '},{'inchhighpi'},1
{'Mike Partyka'},{'Libby JusticeForJohnnyDepp'},1
{'K'},{'inchhighpi'},1
{'cherie '},{' is off '},1
{'Ali Adamjee'},{'JusticeForJohnny'},1
{'Brian Saeger'},"{'Aishacat ', 'Sally Star'}",2
{'Colonel Kurtz'},"{'res ipsa loquitur savvy ', 'Marvel Fury'}",2
{' '},"{'Cayergan ', 'Clara '}",2
{'Susantreehugger1605'},{'best of amber heard'},1
{'fat booty c line dion'},{'Samwinchester50'},1
{'Brooklyn Girl Tam'},{'Stephanie Brown'},1
{'Jon D Allred'},{'Underblank '},1
{' hl '},"{'Kimara', 'ByeByeSuccubus', 'Rwish'}",3
{'Lolly'},"{'Ewinters Wald Mignon', 'Linda Lou '}",2
{'Theresa Kenyon'},"{'Mea parvitas KeepJohnnyDeppAfloat', 'Libby JusticeForJohnnyDepp', 'Tilda B ', 'JohnnyDeppDeservesBetter'}",4
{'BheemBoy Eat Millets Stay Healthy'},{' is off '},1
{' Luh '},{'Lucy '},1
{'jennifer luguis'},{'Del a '},1
{' The Good Bad Guy Darren Rivera'},{'Teri Carson '},1
{'Murfie88 '},{'Teri Carson '},1
{'nrzt'},{'honey volk'},1
{'Belinda '},{'Teri Carson '},1
{'Jennifer'},{' '},1
{'Lisa '},{'Ghost'},1
{'Allan Ver ssimo'},{'Ghost'},1
{'kori'},"{'res ipsa loquitur savvy ', 'Sharon'}",2
{'Rwish'},{'Kountry Waldmignon '},1
{'Yvonne de Boer'},"{'Valeria ', 'Vaielena'}",2
{' '},"{'Mell H D', 'Libby JusticeForJohnnyDepp'}",2
{'s '},{'Nor33 '},1
{'JUSTICE SEEKER'},"{'R', 'LL'}",2
{'Kelly Annie '},{'Horae of Peace'},1
{'NateDizzle312'},{'Dennis Villesnooze'},1
{'Regina'},{'Teri Carson '},1
{'Jacina'},{'inchhighpi'},1
{' '},{'JD s Supporters Survey '},1
{'Sam Wyse '},{'inchhighpi'},1
{'Maree Arianna'},{'Sharon Thompson Martin'},1
{'ScorpionInPink '},{'Teri Carson '},1
{'Chivonne McColl'},{'inchhighpi'},1
{'justin'},{'inchhighpi'},1
{'Alex Kohnstamm'},"{'seedoftruth ', 'Dahlia'}",2
{'Vintage Sanwin'},{'HumanPhoenix'},1
{' '},{'Em '},1
{'ayca gurelman'},{'Jamile Araujo Martinski'},1
{'Eve Barlow'},{'joann hess'},1
{'Red Rabbit'},{'Vaielena'},1
{'Lois Walchelin Red '},{'Kerri McCoy'},1
{'Chelsea Lowe'},{'Tilda B '},1
{'picassoc'},{'inchhighpi'},1
{'no'},{' '},1
{'Sam Hunty '},{'HoneyHani'},1
{'No Facts Just Opinions'},{'Horae of Peace'},1
{'Gemsy'},{'Kountry Waldmignon '},1
{'Violetsvision justiceforjohnnydepp'},"{'teytanus', ' '}",2
{'joseph harkins'},"{' Not A Bot ', 'Ghost', 'Linda Lou '}",3
{'Joshua with a J '},{'VashtiV mainlines avocados sings like a cat'},1
{'Sarah '},"{'Libby JusticeForJohnnyDepp', 'Vaielena', 'Kris '}",3
{'Alex Philpott'},{'inchhighpi'},1
{'Raymond Clifford'},{'lenni Wald Mignon'},1
{'UptownNance LFG '},{'Detective'},1
{'Brianna '},{'Rae'},1
{'Rachael'},{'Libby JusticeForJohnnyDepp'},1
{'Khaira Nissa'},{'carpe'},1
{'Elaina'},{'Teri Carson '},1
{'sara saberi'},"{'Spirit of Dani ', ' is off '}",2
{'Leah'},{'java noob'},1
{'Satoru Gojo s Wife '},{'loryKapp'},1
{'Peglyn'},{'Teri Carson '},1
{'ToastdRyBread'},"{'JusticeForJohnny', 'JibberJab'}",2
{'Jessy Depp '},{'JibberJab'},1
{'Taylor L Roebuck'},"{'Luxdarlz', 'Kudzaishe Chitapi '}",2
{'Deyan Rip '},"{'Jeni Wald Mignon ', 'Mya', 'Ida Almqvist', 'Jasmin Wald Mignon', 'Odette', 'Pamela McCafferty', 'RideOrDis', 'Princess Consuela Bananahammock'}",8
{'Sarah Brittany Rosenthal'},{'Odette'},1
{'Ramisa F she her '},{'LL'},1
{'N M A I'},{'Nana La'},1
{'simply dawn '},"{'Nor33 ', 'Ewinters Wald Mignon', ' is off '}",3
{'Olga Kruglova not a bot '},{'Teri Carson '},1
{'CIoJ'},{'Taru'},1
{'Kate '},{''},1
{'Jasmin Wald Mignon'},{'Lisa Salustri'},1
{'Furiosa'},{'James Shala'},1
{'The joker once known as Bahia do Sul Ronin 09'},"{' ', 'fay ', ' ammar '}",3
{'Stace'},"{'Eskarina', 'joby', 'Vaielena'}",3
{'felipe'},{'Del a '},1
{'Angy'},{'Sally Star'},1
{'Stephanie Nichols'},{'Ghost'},1
{'En See Kay'},{'Serpens1984'},1
{'nanni '},"{'j c d ll', 'JusticeForJohnny'}",2
{'Bobby Jo Reid Tuita'},"{'HumanPhoenix', 'Princess Consuela Bananahammock', 'Paula ', 'Diane S Loftis'}",4
{'Mommy A '},"{'Mya', 'JusticeForJohnny', 'Odette', 'Cassie Roehr'}",4
{' EL Hawkins Strawberry Festival or Bust'},{'TheMadRatter Gwennafran '},1
{'Marcus D Woolcott'},{' '},1
{'Tha s Laguna '},{'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell'},1
{'barbra'},{'Belinda '},1
{'Niki '},{' '},1
{'NavajoGhost'},{' '},1
{'Isaac Sanchez'},{'nancy '},1
{' The Alice '},{' '},1
{'Chel C '},{'Emp rElla lovesscience'},1
